id,name,neighborhood_overview,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
50904,aplace/antwerp: cosy suite - fashion district,,234077,Karin,f,4,4,t,t,,Historisch Centrum,51.21825,4.39901,Room in boutique hotel,Hotel room,2,,1 bath,1,1,"[""Kitchen"", ""Shampoo"", ""Smoke alarm"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hot water"", ""Hangers"", ""Essentials"", ""Carbon monoxide alarm"", ""Cable TV"", ""Microwave"", ""Iron"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Keypad"", ""Hair dryer"", ""TV"", ""Heating"", ""Paid parking off premises"", ""Wifi""]",$158.00 ,1,60,1,2,40,60,1.3,40.7,t,14,44,74,246,1,0,0,100,10,10,10,10,10,10,f,4,2,0,0,0.01
116134,Trendy Vacation Apartment Antwerp,"The area ""`t eilandje"" is located at the old harbour of the city. It has a unique laidback vibe, with a lot of great restaurants, bars and cafés. Enjoy a glass on one of the many terrasses or just a walk through the MAS museum. You could also walk to the city centre in 15 minutes.",586942,Paul,t,1,1,t,t,"Antwerp, Flemish Region, Belgium",Eilandje,51.23051,4.40593,Entire apartment,Entire home/apt,4,,2.5 baths,2,2,"[""Stove"", ""Oven"", ""Carbon monoxide alarm"", ""TV"", ""Hot water"", ""Refrigerator"", ""Hangers"", ""Dedicated workspace"", ""Hair dryer"", ""Cooking basics"", ""Essentials"", ""Washer"", ""Coffee maker"", ""Patio or balcony"", ""First aid kit"", ""Cable TV"", ""Heating"", ""Microwave"", ""Dishwasher"", ""Free parking on premises"", ""Private entrance"", ""Dishes and silverware"", ""Free street parking"", ""Kitchen"", ""Elevator"", ""Wifi"", ""Fire extinguisher"", ""Iron"", ""Smoke alarm"", ""Shampoo""]",$150.00 ,2,30,2,2,1125,1125,2,1125,t,20,50,80,352,102,6,0,99,10,10,10,10,10,10,t,1,1,0,0,0.95
224333,Large stylish room in 1930s house + garden,"The house is located in one of the most beautiful and most quiet neighbourhoods of Antwerp. 2 parks at 200m distance, as wel as tram stops at 50m distance. Trams take you in 5 min to Antwerpen-Berchem railway station and in 10 min to Antwerpen-Centraal railway station.",1167377,Geert,f,1,1,t,t,"Antwerpen, Vlaanderen, Belgium",Deurne Zuid West,51.19772,4.45853,Private room in house,Private room,2,,2 shared baths,1,1,"[""Washer"", ""Kitchen"", ""First aid kit"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Smoke alarm"", ""Heating"", ""Wifi""]",$16.00 ,14,365,14,14,365,365,14,365,t,1,1,1,1,2,1,0,80,10,2,10,6,10,10,f,2,0,2,0,0.02
224682,APARTMENT ROSCAM - OLD CENTRE ANTWERP,"There is a paid parking lot around the corner. In case you come by train, it takes a thirty minutes walk from the station to the apartment, or you can take the subway from the central station to ''Groenplaats'' (2 mins from the apartment).",1263933,Kristien,t,1,1,t,t,"Antwerpen, Vlaams Gewest, Belgium",Sint-Andries,51.21722,4.3979,Entire apartment,Entire home/apt,3,,1 bath,1,2,"[""Stove"", ""Bed linens"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Host greets you"", ""Kitchen"", ""First aid kit"", ""Heating"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Microwave"", ""Refrigerator"", ""Hangers"", ""Shampoo"", ""Hair dryer"", ""Cooking basics"", ""Essentials""]",$86.00 ,2,30,2,2,30,30,2,30,t,27,57,87,362,337,15,1,95,10,10,10,10,10,10,f,1,1,0,0,3.12
328911,Large Modern Apt W Great Park Views,-view on the cathedral from kitchen and bedroom<br />-public park<br />-shopping area<br />-fashion and diamond district<br />-nicest central station in West Europe<br />-cosy medieval streets<br />-good restaurants,1263814,Tinne,f,1,1,t,t,"Antwerp, Flemish Region, Belgium",Stadspark,51.21078,4.4105,Entire apartment,Entire home/apt,2,,1 bath,1,1,"[""Kitchen"", ""Refrigerator"", ""Shampoo"", ""Fire extinguisher"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Host greets you"", ""TV"", ""Heating"", ""Dishes and silverware"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Wifi"", ""Washer"", ""Smoke alarm"", ""Stove"", ""Elevator"", ""Hot water"", ""Ethernet connection"", ""Bed linens"", ""Carbon monoxide alarm"", ""Iron"", ""Paid parking on premises"", ""Hair dryer"", ""Pocket wifi"", ""Single level home"", ""Lake access"", ""Cooking basics"", ""Dedicated workspace""]",$44.00 ,15,365,15,15,1125,1125,15,1125,t,0,27,57,57,59,0,0,93,10,10,10,9,10,9,f,1,1,0,0,0.55
345959,Marleen's home in Antwerp city,,1754396,Marleen,t,2,2,t,t,,Markgrave,51.19935,4.40154,Entire apartment,Entire home/apt,3,,1 bath,2,2,"[""Kitchen"", ""Refrigerator"", ""Shampoo"", ""Fire extinguisher"", ""Garden or backyard"", ""Hangers"", ""Essentials"", ""Host greets you"", ""TV"", ""Microwave"", ""Heating"", ""Dishes and silverware"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Hot water"", ""Oven"", ""Bed linens"", ""Iron"", ""Hair dryer"", ""Paid parking off premises"", ""Single level home"", ""Extra pillows and blankets"", ""Coffee maker"", ""Cable TV"", ""Cooking basics"", ""Dedicated workspace""]",$55.00 ,2,90,2,2,1125,1125,2,1125,t,29,59,89,338,55,3,0,95,10,10,10,10,9,10,f,2,2,0,0,0.52
363155,1-bedroom apartment with court yard,,1835458,Roos,f,1,1,t,f,,Amandus - Atheneum,51.22119,4.41951,Entire apartment,Entire home/apt,2,,1.5 baths,1,1,"[""Kitchen"", ""Shampoo"", ""Fire extinguisher"", ""Garden or backyard"", ""Hangers"", ""Essentials"", ""TV"", ""Heating"", ""Dishes and silverware"", ""Dryer"", ""Luggage dropoff allowed"", ""Wifi"", ""Washer"", ""Bed linens"", ""Carbon monoxide alarm"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Cable TV"", ""Cooking basics"", ""Smoke alarm""]",$50.00 ,2,365,2,2,1125,1125,2,1125,t,0,0,30,305,20,2,0,97,10,10,10,10,9,10,t,1,1,0,0,0.19
366252,ROOM IN FAMILY HOME near C. Station,,1820186,Fronk & Lieve,f,4,4,t,t,,Borgerhout Intra Muros Noord,51.21601,4.43432,Private room in apartment,Private room,2,,Shared half-bath,1,1,"[""Fire extinguisher"", ""Washer"", ""Lock on bedroom door"", ""TV"", ""Kitchen"", ""Elevator"", ""Heating"", ""Smoke alarm"", ""Wifi"", ""Dedicated workspace"", ""Building staff"", ""Hangers"", ""Paid parking off premises"", ""Shampoo"", ""Dryer"", ""Iron""]",$35.00 ,1,365,1,1,365,365,1,365,t,30,60,90,365,104,0,0,91,9,9,10,10,9,9,f,6,1,5,0,0.97
445201,ROOM in FAMILY HOME near Central Sation,,1820186,Fronk & Lieve,f,4,4,t,t,,Borgerhout Intra Muros Noord,51.21579,4.43265,Private room in apartment,Private room,1,,1.5 shared baths,3,0,"[""Stove"", ""Lock on bedroom door"", ""TV"", ""Hot water"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Coffee maker"", ""Host greets you"", ""First aid kit"", ""Heating"", ""Microwave"", ""Dishes and silverware"", ""Kitchen"", ""Elevator"", ""Wifi"", ""Fire extinguisher"", ""Dryer"", ""Smoke alarm"", ""Shampoo""]",$22.00 ,1,365,1,1,365,365,1,365,t,30,60,90,365,55,2,0,91,9,9,10,10,9,9,f,6,1,5,0,0.53
522693,Ahome Awayfromhome,"Ahome lies in the heart of the old city, the bubbling city centre of Antwerp.<br /><br />Discover the Grote Markt with its mighty Renaissance Town Hall (UNESCO listed World Heritage site), the Groenplaats, the Gothic Cathedral of our Lady, the Rubens House, the Royal Museum of Fine Arts, the Museum of Contemporary Art (MUKHA), the Museum Plantin-Moretus/Prints Room(World Heritage Site), the Museum At the Stream (MAS), the Kloosterstraat with its antique & brocante shops, the Nationale straat : thé fashion street with its world famous designer shops and the Fashion Museum (MoMu), the Zoo, the Central Station (nicknamed: the Railway Cathedral), its traffic free shopping streets and last but not least: a myriad of star restaurants as well as simple Belgian and ethnic eateries, fresh markets, culinary shops, theatres, bars and a vibrant nightlife.<br /><br />Antwerp being a multi cultural cosmos has various quarters: Chinatown (with its shops and restaurants), the Jewish Quarter (diamond t",2562294,Ahome,f,1,1,t,f,"Antwerp, Flemish Region, Belgium",Historisch Centrum,51.22001,4.39813,Entire apartment,Entire home/apt,4,,1 bath,1,2,"[""Washer"", ""Crib"", ""Shampoo"", ""Smoke alarm"", ""First aid kit"", ""Kitchen"", ""Dedicated workspace"", ""Fire extinguisher"", ""High chair"", ""Hangers"", ""Essentials"", ""Cable TV"", ""Children\u2019s dinnerware"", ""Iron"", ""Dryer"", ""Hair dryer"", ""TV"", ""Heating"", ""Wifi""]",$282.00 ,2,21,2,2,21,21,2,21,t,29,59,89,364,2,0,0,,,,,,,,t,1,1,0,0,0.03
